Breed,Weight_kg
Yorkshire Terrier,3.2
Coton de Tulear,5.0
Flat-Coated Retriever,29.0
Havanese,4.5
Saint Bernard,66.7
Great Dane,64.6
Pomeranian,2.4
Beagle,8.3
Miniature Schnauzer,6.9
American Staffordshire Terrier,23.3
Labrador Retriever,34.0
Border Collie,22.2
Dalmatian,27.3
Rottweiler,53.6
Border Collie,22.3
Yorkshire Terrier,3.2
Dachshund,7.9
Cairn Terrier,6.0
Mastiff,76.2
Saint Bernard,71.8
Mastiff,91.6
Dalmatian,27.7
Bulldog,19.8
Coton de Tulear,5.5
Weimaraner,36.2
French Bulldog,12.7
Giant Schnauzer,28.5
Greater Swiss Mountain Dog,44.2
Bull Terrier,27.4
Cocker Spaniel,11.4
Siberian Husky,21.9
Papillon,3.7
Cairn Terrier,6.1
Whippet,14.0
Basset Hound,21.7
Great Dane,67.8
Anatolian Shepherd Dog,53.6
Old English Sheepdog,33.7
Poodle (Toy),2.2
Newfoundland,54.7
Chinese Shar-Pei,25.1
Australian Cattle Dog,22.0
Pomeranian,2.6
English Springer Spaniel,19.4
Golden Retriever,28.7
German Shepherd Dog,28.1
Labrador Retriever,31.4
Brittany,15.0
Maltese,3.2
Rottweiler,47.8
Great Dane,68.8
Brittany,15.8
Miniature American Shepherd,12.3
Standard Schnauzer,16.4
Shih Tzu,5.1
Labrador Retriever,28.3
Border Collie,19.6
Brittany,15.3
West Highland White Terrier,7.8
Saint Bernard,70.6
Yorkshire Terrier,3.2
Golden Retriever,31.2
American Staffordshire Terrier,25.1
Dachshund,10.3
Siberian Husky,24.1
Lhasa Apso,8.0
Brussels Griffon,3.9
Havanese,4.3
Shetland Sheepdog,9.5
Dogue de Bordeaux,46.4
Lagotto Romagnolo,12.8
Dachshund,12.3
German Shorthaired Pointer,25.0
Golden Retriever,29.5
Golden Retriever,29.5
Coton de Tulear,5.9
Irish Wolfhound,52.9
Basenji,10.5
Poodle (Standard),23.8
Boston Terrier,7.2
Leonberger,58.4
Cocker Spaniel,9.9
Bull Terrier,25.2
Flat-Coated Retriever,29.8
Labrador Retriever,30.6
Brussels Griffon,3.9
Italian Greyhound,5.2
Cairn Terrier,6.1
Rottweiler,55.4
Pembroke Welsh Corgi,13.1
French Bulldog,12.7
Siberian Husky,19.9
Cocker Spaniel,12.6
Australian Shepherd,28.1
Havanese,5.0
Beagle,9.8
West Highland White Terrier,8.1
Labrador Retriever,29.9
Chihuahua,2.7
Miniature Pinscher,4.3
West Highland White Terrier,8.8
Chihuahua,2.7
German Shepherd Dog,31.8
Shih Tzu,6.0
Italian Greyhound,4.4
Pembroke Welsh Corgi,13.1
French Bulldog,12.7
Miniature American Shepherd,12.4
Vizsla,24.5
Siberian Husky,23.2
Bichon Frise,6.7
Rottweiler,46.6
French Bulldog,12.7
Papillon,3.7
Lhasa Apso,5.9
Yorkshire Terrier,3.2
Bull Terrier,27.5
Papillon,3.0
Border Collie,20.8
Boston Terrier,8.5
Collie,27.5
Newfoundland,56.6
Bullmastiff,53.6
German Shorthaired Pointer,25.9
Mastiff,77.6
Labrador Retriever,29.0
Shiba Inu,8.8
German Shorthaired Pointer,26.7
Pembroke Welsh Corgi,13.1
Poodle (Miniature),5.8
Great Dane,64.1
Standard Schnauzer,15.6
Boykin Spaniel,13.0
Pomeranian,2.9
Poodle (Toy),2.2
Vizsla,23.6
German Wirehaired Pointer,26.3
Brittany,15.3
Boston Terrier,9.3
Pembroke Welsh Corgi,13.1
Bulldog,20.9
Boxer,26.8
Bull Terrier,27.9
Akita,49.0
Poodle (Toy),2.3
German Shepherd Dog,31.2
English Cocker Spaniel,12.7
Beagle,9.6
French Bulldog,12.7
German Shepherd Dog,31.0
Poodle (Miniature),5.7
Yorkshire Terrier,3.2
Bulldog,20.2
Doberman Pinscher,36.2
Dachshund,10.3
Bloodhound,49.1
Lhasa Apso,6.6
Pembroke Welsh Corgi,13.2
Golden Retriever,29.5
Bull Terrier,27.8
Boston Terrier,9.7
Poodle (Toy),2.2
Bull Terrier,26.9
Poodle (Toy),2.5
Great Pyrenees,40.4
Cavalier King Charles Spaniel,7.2
Basset Hound,23.9
Miniature Pinscher,4.2
Boxer,31.6
Dalmatian,25.3
Airedale Terrier,26.6
Whippet,13.9
Basenji,10.5
Poodle (Standard),25.8
German Shepherd Dog,26.2
Chihuahua,2.7
Basset Hound,24.0
Bull Terrier,28.4
English Springer Spaniel,20.2
Beagle,8.0
Bichon Frise,6.5
Golden Retriever,30.8
Old English Sheepdog,35.2
Standard Schnauzer,17.0
English Cocker Spaniel,13.5
Labrador Retriever,31.3
Australian Shepherd,22.2
Poodle (Toy),2.4
Coton de Tulear,4.8
Wirehaired Pointing Griffon,18.4
Anatolian Shepherd Dog,49.6
German Shepherd Dog,39.8
Papillon,3.0
French Bulldog,12.7
English Springer Spaniel,20.4
Brussels Griffon,4.3
Samoyed,21.2
Miniature American Shepherd,11.6
Bulldog,21.2
Brittany,14.9
Newfoundland,59.9
Beagle,9.5
Rhodesian Ridgeback,35.7
Shih Tzu,6.2
Boxer,21.7
Poodle (Standard),24.0
Golden Retriever,27.4
Golden Retriever,24.9
Labrador Retriever,29.6
Border Collie,19.0
Weimaraner,33.6
Rottweiler,53.3
Australian Shepherd,23.0
Rat Terrier,8.7
Labrador Retriever,30.7
Leonberger,53.7
Miniature Schnauzer,7.5
American Staffordshire Terrier,27.7
Beagle,8.2
English Springer Spaniel,20.3
German Shorthaired Pointer,26.5
Golden Retriever,27.8
Golden Retriever,29.5
Bulldog,20.2
Havanese,4.1
Bloodhound,40.5
Coton de Tulear,4.8
Shih Tzu,6.3
Maltese,3.2
Poodle (Toy),2.4
Samoyed,21.9
Poodle (Miniature),5.4
Akita,40.0
Portuguese Water Dog,24.3
Wirehaired Pointing Griffon,21.7
Beagle,9.4
Russell Terrier,5.3
Mastiff,82.2
Chinese Crested,4.4
Beagle,8.7
Miniature Schnauzer,6.6
Shetland Sheepdog,9.1
Brussels Griffon,3.9
German Shepherd Dog,35.4
Boxer,23.8
German Shepherd Dog,27.7
Scottish Terrier,9.0
Rhodesian Ridgeback,33.2
Lhasa Apso,6.1
Cavalier King Charles Spaniel,7.4
Bernese Mountain Dog,41.0
Dachshund,7.2
Bulldog,20.2
Dogue de Bordeaux,47.8
Beagle,11.9
Pomeranian,2.1
Golden Retriever,27.1
Bouvier des Flandres,43.5
Golden Retriever,29.6
French Bulldog,12.7
Labrador Retriever,31.5
Staffordshire Bull Terrier,13.7
Akita,44.8
American Staffordshire Terrier,22.3
Border Terrier,6.2
Chow Chow,26.7
Great Pyrenees,40.9
Bloodhound,42.7
German Shepherd Dog,36.0
Belgian Malinois,27.7
Samoyed,20.7
Siberian Husky,20.2
Golden Retriever,33.5
Basenji,10.4
Soft Coated Wheaten Terrier,16.0
German Wirehaired Pointer,27.9
Brussels Griffon,3.8
Boston Terrier,8.9
Labrador Retriever,32.3
German Shepherd Dog,26.9
Leonberger,52.1
West Highland White Terrier,7.6
Pug,7.1
Chinese Crested,4.0
Doberman Pinscher,34.5
Labrador Retriever,32.9
Chinese Crested,4.4
Pekingese,6.4
Saint Bernard,69.9
Standard Schnauzer,15.1
Brittany,15.2
Collie,30.9
Beagle,9.9
Rhodesian Ridgeback,35.1
Poodle (Miniature),6.0
Portuguese Water Dog,23.4
Miniature Schnauzer,7.3
English Springer Spaniel,18.9
Mastiff,65.2
Brittany,16.5
Wirehaired Pointing Griffon,22.9
Vizsla,23.5
Shetland Sheepdog,8.8
Great Pyrenees,41.2
Golden Retriever,30.7
Wirehaired Pointing Griffon,23.6
Flat-Coated Retriever,30.9
Chesapeake Bay Retriever,30.9
Great Dane,65.5
Lhasa Apso,7.0
Poodle (Miniature),5.3
Samoyed,20.5
Bull Terrier,27.7
Brittany,16.3
Soft Coated Wheaten Terrier,14.6
Boxer,31.3
Havanese,4.3
Great Dane,55.2
Bernese Mountain Dog,39.7
Vizsla,22.6
Yorkshire Terrier,3.2
Miniature Schnauzer,6.9
Yorkshire Terrier,3.2
Poodle (Toy),2.2
Labrador Retriever,29.2
Bouvier des Flandres,41.7
Siberian Husky,21.1
German Shepherd Dog,35.0
Labrador Retriever,31.9
Lhasa Apso,6.6
Rottweiler,48.5
Australian Shepherd,26.2
Yorkshire Terrier,3.2
Mastiff,83.4
Pekingese,6.4
German Shorthaired Pointer,26.4
Rat Terrier,8.0
Airedale Terrier,27.2
Australian Cattle Dog,18.8
Bullmastiff,52.5
Leonberger,55.0
Boykin Spaniel,12.9
Yorkshire Terrier,3.2
Papillon,3.9
Whippet,15.6
Cocker Spaniel,12.6
Bullmastiff,54.3
Bloodhound,41.0
French Bulldog,12.7
Shiba Inu,9.4
Chihuahua,2.7
Chinese Shar-Pei,25.1
Chinese Crested,4.9
French Bulldog,12.7
Staffordshire Bull Terrier,14.8
Saint Bernard,75.0
Beagle,10.4
Poodle (Miniature),5.9
Belgian Malinois,31.6
Bullmastiff,52.1
Boxer,22.0
Papillon,3.6
Shih Tzu,5.4
Lhasa Apso,6.2
Bulldog,20.5
Pekingese,6.4
Boykin Spaniel,14.3
Beagle,8.2
Bull Terrier,28.2
Australian Cattle Dog,18.6
Labrador Retriever,29.6
Newfoundland,61.0
Poodle (Toy),2.5
Dalmatian,24.1
Bulldog,21.1
Australian Cattle Dog,19.7
Airedale Terrier,24.1
Keeshond,16.9
Poodle (Standard),31.8
Bulldog,19.9
Bulldog,20.0
Yorkshire Terrier,3.2
Yorkshire Terrier,3.2
Basset Hound,21.6
Soft Coated Wheaten Terrier,16.3
Boykin Spaniel,14.9
Soft Coated Wheaten Terrier,15.7
Poodle (Toy),2.3
Border Collie,19.5
Rat Terrier,7.9
Miniature Schnauzer,7.9
Poodle (Standard),26.5
Basset Hound,23.1
Australian Cattle Dog,18.6
German Shorthaired Pointer,29.8
German Shorthaired Pointer,24.5
Italian Greyhound,4.9
Australian Cattle Dog,19.4
Doberman Pinscher,33.1
Basenji,10.6
English Springer Spaniel,20.7
Rottweiler,52.4
Whippet,14.4
Havanese,4.8
Siberian Husky,24.2
Bulldog,20.9
Golden Retriever,28.8
Weimaraner,27.1
German Shepherd Dog,28.4
German Shorthaired Pointer,26.6
Keeshond,18.1
Staffordshire Bull Terrier,14.9
Wirehaired Pointing Griffon,20.5
Portuguese Water Dog,22.0
Soft Coated Wheaten Terrier,16.1
Dachshund,8.7
Basset Hound,25.0
Poodle (Miniature),5.2
Cavalier King Charles Spaniel,6.9
Havanese,4.0
Golden Retriever,28.6
Pug,7.3
Golden Retriever,30.3
Miniature American Shepherd,13.8
German Shepherd Dog,33.3
French Bulldog,12.7
Pembroke Welsh Corgi,13.0
Boston Terrier,7.9
English Springer Spaniel,21.1
Miniature Schnauzer,8.1
Chinese Shar-Pei,23.7
Cavalier King Charles Spaniel,7.2
German Shepherd Dog,38.9
Pug,7.0
Pembroke Welsh Corgi,13.2
Akita,42.9
Pembroke Welsh Corgi,13.0
French Bulldog,12.7
Staffordshire Bull Terrier,14.7
Great Pyrenees,42.2
English Cocker Spaniel,13.6
Anatolian Shepherd Dog,46.8
Beagle,9.7
Portuguese Water Dog,18.9
German Shepherd Dog,31.8
Bernese Mountain Dog,42.6
Shiba Inu,9.7
Bulldog,20.3
Poodle (Miniature),5.6
Belgian Malinois,24.7
German Shepherd Dog,38.0
Belgian Malinois,26.7
Chow Chow,27.3
Shih Tzu,5.8
Border Collie,18.3
Greater Swiss Mountain Dog,47.7
Belgian Malinois,29.7
Great Dane,55.5
Old English Sheepdog,34.4
German Shepherd Dog,35.3
Chinese Crested,4.1
Weimaraner,34.1
Italian Greyhound,4.8
Vizsla,22.9
Havanese,4.1
Dachshund,9.1
English Setter,25.3
Leonberger,58.6
Golden Retriever,27.4
Dogue de Bordeaux,47.9
Keeshond,18.0
Brittany,15.6
American Staffordshire Terrier,29.5
Maltese,3.2
Doberman Pinscher,38.3
Miniature Schnauzer,7.3
Shih Tzu,6.1
Siberian Husky,24.6
Poodle (Standard),25.0
Border Collie,15.7
Poodle (Miniature),5.9
Golden Retriever,31.1
Italian Greyhound,5.0
German Wirehaired Pointer,26.9
Boykin Spaniel,14.3
Labrador Retriever,29.0
American Staffordshire Terrier,24.9
Miniature American Shepherd,12.6
Dogue de Bordeaux,47.6
Alaskan Malamute,36.4
Cairn Terrier,6.0
Boxer,25.1
Great Dane,66.9
Greater Swiss Mountain Dog,48.4
Pug,7.4
Beagle,10.0
Poodle (Miniature),5.3
Bulldog,19.6
Samoyed,26.0
Pug,7.3
Pomeranian,2.6
Brittany,15.6
Chow Chow,26.9
Bull Terrier,26.0
Nova Scotia Duck Tolling Retriever,18.6
Miniature Schnauzer,6.5
Lagotto Romagnolo,13.9
Pembroke Welsh Corgi,13.0
Pekingese,6.4
German Shorthaired Pointer,26.5
Border Collie,19.7
Brittany,16.0
Beagle,7.8
French Bulldog,12.7
Poodle (Miniature),5.0
Tibetan Terrier,10.2
German Shepherd Dog,30.7
Bulldog,20.5
Golden Retriever,29.6
Poodle (Toy),2.4
Bichon Frise,7.2
Keeshond,18.1
Pembroke Welsh Corgi,13.3
Soft Coated Wheaten Terrier,16.8
Bichon Frise,6.8
Chinese Shar-Pei,22.5
Chinese Crested,4.4
French Bulldog,12.7
Chesapeake Bay Retriever,30.7
Bichon Frise,7.3
Scottish Terrier,8.7
Miniature Pinscher,4.1
Shih Tzu,5.7
Chinese Crested,4.8
Chow Chow,23.1
German Shepherd Dog,31.7
Dogue de Bordeaux,47.3
Tibetan Terrier,13.6
Cavalier King Charles Spaniel,7.6
Belgian Malinois,35.3
Wirehaired Pointing Griffon,22.5
Poodle (Miniature),6.1
Siberian Husky,22.4
Chesapeake Bay Retriever,29.2
Labrador Retriever,29.0
Yorkshire Terrier,3.2
Cairn Terrier,6.0
Bouvier des Flandres,44.8
Bulldog,20.7
Leonberger,53.7
Pekingese,6.4
Pomeranian,2.6
Chesapeake Bay Retriever,32.4
Bloodhound,44.9
German Shepherd Dog,29.1
Newfoundland,62.4
Poodle (Standard),25.2
Irish Wolfhound,50.9
Poodle (Standard),24.9
Chow Chow,27.4
Pembroke Welsh Corgi,13.2
French Bulldog,12.7
Boston Terrier,9.5
Rhodesian Ridgeback,33.3
Miniature Schnauzer,7.7
Labrador Retriever,29.5
Dachshund,12.1
Brussels Griffon,4.2
Basset Hound,22.6
Norwegian Elkhound,23.2
Samoyed,25.5
Italian Greyhound,5.2
German Shepherd Dog,33.0
Shih Tzu,5.1
German Wirehaired Pointer,26.1
Portuguese Water Dog,20.6
Bulldog,20.6
Shih Tzu,5.6
Bull Terrier,27.1
Leonberger,60.4
Pug,7.1
Akita,52.0
Border Collie,19.8
Vizsla,22.9
Miniature Schnauzer,6.2
Labrador Retriever,32.4
Labrador Retriever,31.1
Bloodhound,41.8
Siberian Husky,21.7
Standard Schnauzer,19.7
Bouvier des Flandres,38.2
Italian Greyhound,4.1
Chinese Crested,4.6
Mastiff,78.8
Pekingese,6.4
Mastiff,72.6
Old English Sheepdog,41.2
Shetland Sheepdog,9.2
Vizsla,25.2
Pomeranian,2.3
Collie,27.6
Rottweiler,46.6
Rat Terrier,10.8
Boxer,24.2
Yorkshire Terrier,3.2
Chinese Shar-Pei,24.1
Border Collie,22.5
Irish Setter,29.8
Akita,44.4
Wirehaired Pointing Griffon,16.8
Papillon,2.9
West Highland White Terrier,7.6
Boxer,23.8
Keeshond,17.0
Poodle (Standard),25.9
Golden Retriever,31.7
Chihuahua,2.7
Papillon,3.3
Irish Wolfhound,49.3
Australian Shepherd,25.8
French Bulldog,12.7
Weimaraner,29.1
Labrador Retriever,33.5
Bullmastiff,51.2
Bull Terrier,27.1
Doberman Pinscher,38.5
German Shepherd Dog,33.5
Irish Wolfhound,50.9
Cocker Spaniel,10.2
Dalmatian,24.8
Poodle (Standard),23.9
Bernese Mountain Dog,38.2
Scottish Terrier,9.0
Russell Terrier,5.2
Great Dane,62.6
Boston Terrier,9.7
Giant Schnauzer,30.0
Saint Bernard,65.3
Great Pyrenees,41.7
Boxer,22.9
Miniature American Shepherd,15.7
Weimaraner,31.7
Basset Hound,23.7
Chihuahua,2.7
Belgian Malinois,27.3
Chesapeake Bay Retriever,32.6
Chesapeake Bay Retriever,29.3
Maltese,3.2
Brussels Griffon,4.1
Poodle (Standard),25.5
Bernese Mountain Dog,47.3
Yorkshire Terrier,3.2
Pug,7.5
Rhodesian Ridgeback,34.6
Dachshund,8.7
Golden Retriever,27.9
Cairn Terrier,6.1
Maltese,3.2
Russell Terrier,5.1
Dalmatian,27.4
Belgian Malinois,26.2
Pembroke Welsh Corgi,13.1
Border Terrier,6.0
Golden Retriever,29.0
Bulldog,18.8
Golden Retriever,27.5
Dogue de Bordeaux,46.3
Shih Tzu,4.8
Airedale Terrier,27.7
Rhodesian Ridgeback,35.1
Bulldog,20.3
Miniature Pinscher,4.1
Basset Hound,23.2
Golden Retriever,28.8
Newfoundland,55.3
Mastiff,86.8
Poodle (Miniature),5.7
Brittany,16.7
Shiba Inu,9.8
Doberman Pinscher,35.8
Miniature Pinscher,3.8
Miniature Pinscher,4.1
Havanese,4.4
Lagotto Romagnolo,11.9
Papillon,4.0
Cocker Spaniel,11.3
West Highland White Terrier,7.9
Rhodesian Ridgeback,37.2
Pembroke Welsh Corgi,13.2
Miniature Schnauzer,6.7
Chihuahua,2.7
Border Collie,21.2
Great Dane,65.2
Alaskan Malamute,37.2
German Shepherd Dog,35.8
Bichon Frise,7.1
Lagotto Romagnolo,13.1
Great Dane,75.0
Samoyed,23.9
Golden Retriever,29.7
Miniature Schnauzer,7.0
Cocker Spaniel,12.3
Samoyed,24.3
German Shepherd Dog,31.6
Bernese Mountain Dog,41.2
Akita,45.8
Staffordshire Bull Terrier,14.0
Poodle (Miniature),5.2
Australian Shepherd,21.9
Chihuahua,2.7
Poodle (Miniature),5.3
Giant Schnauzer,33.4
Collie,28.6
Cocker Spaniel,12.5
Beagle,8.9
Rottweiler,52.3
Wirehaired Pointing Griffon,23.4
Boxer,27.1
Leonberger,53.0
Havanese,4.8
Boston Terrier,7.9
Scottish Terrier,9.2
Basset Hound,23.4
Dogue de Bordeaux,47.2
French Bulldog,12.7
Chinese Shar-Pei,24.8
Siberian Husky,20.8
Saint Bernard,63.7
German Shepherd Dog,27.3
Staffordshire Bull Terrier,14.6
Flat-Coated Retriever,30.5
Newfoundland,58.2
Labrador Retriever,28.3
Samoyed,26.9
Chinese Crested,4.7
Poodle (Toy),2.3
Chow Chow,26.8
Labrador Retriever,27.2
Samoyed,21.0
German Shepherd Dog,35.2
English Springer Spaniel,22.7
Bull Terrier,28.3
Bouvier des Flandres,44.3
German Shepherd Dog,27.3
Yorkshire Terrier,3.2
Basset Hound,24.2
Giant Schnauzer,32.2
Bloodhound,44.0
Belgian Malinois,29.9
American Staffordshire Terrier,23.0
Chow Chow,26.4
Labrador Retriever,30.4
Mastiff,78.8
Havanese,4.2
Brittany,15.0
Bichon Frise,6.1
Beagle,10.2
Rhodesian Ridgeback,35.4
Dachshund,9.5
German Shorthaired Pointer,23.2
Shetland Sheepdog,9.1
Bulldog,21.1
Pembroke Welsh Corgi,13.3
Staffordshire Bull Terrier,14.3
Cavalier King Charles Spaniel,6.6
Russell Terrier,5.6
Rottweiler,53.3
Bulldog,20.4
Poodle (Standard),25.4
Labrador Retriever,30.7
Siberian Husky,20.2
Poodle (Miniature),5.8
Tibetan Terrier,10.8
Poodle (Standard),26.6
Irish Wolfhound,48.9
Pug,7.2
Shiba Inu,9.3
Miniature Schnauzer,6.5
Great Dane,61.0
Boston Terrier,9.2
Newfoundland,58.4
English Setter,29.5
Pembroke Welsh Corgi,13.3
Saint Bernard,68.9
Poodle (Toy),2.3
Portuguese Water Dog,21.9
West Highland White Terrier,7.4
Standard Schnauzer,20.6
Scottish Terrier,9.1
Poodle (Standard),25.8
Pug,7.5
Boxer,11.1
Akita,40.6
Dachshund,9.1
Bulldog,20.6
Rottweiler,50.7
Golden Retriever,29.3
Airedale Terrier,28.1
Dalmatian,25.6
German Shepherd Dog,27.9
Coton de Tulear,4.8
Bouvier des Flandres,41.9
Standard Schnauzer,22.7
Saint Bernard,66.9
Yorkshire Terrier,3.2
Tibetan Terrier,10.7
Bernese Mountain Dog,40.5
Miniature Pinscher,4.3
Weimaraner,34.6
Golden Retriever,31.3
Bullmastiff,55.2
Keeshond,18.1
Miniature American Shepherd,15.0
Labrador Retriever,30.6
Basenji,10.3
Soft Coated Wheaten Terrier,16.0
French Bulldog,12.7
Beagle,10.2
Weimaraner,32.9
Miniature Schnauzer,6.8
Russell Terrier,4.9
Miniature Pinscher,4.1
Bull Terrier,28.0
German Wirehaired Pointer,25.5
Golden Retriever,30.1
Pembroke Welsh Corgi,13.1
Labrador Retriever,30.9
Miniature American Shepherd,11.8
French Bulldog,12.7
Boston Terrier,7.6
Basenji,10.4
Shetland Sheepdog,9.5
Poodle (Toy),2.4
Great Pyrenees,42.3
Lagotto Romagnolo,14.3
Soft Coated Wheaten Terrier,16.8
Poodle (Toy),2.1
Dogue de Bordeaux,47.8
Airedale Terrier,27.5
Saint Bernard,70.1
Golden Retriever,30.4
Labrador Retriever,27.4
Tibetan Terrier,10.6
German Shepherd Dog,29.2
Leonberger,69.3
Pug,7.3
Scottish Terrier,9.0
Poodle (Miniature),6.2
Russell Terrier,5.5
Rhodesian Ridgeback,36.4
Border Terrier,6.4
English Setter,25.1
Portuguese Water Dog,20.2
Rhodesian Ridgeback,35.6
Bulldog,20.5
Bernese Mountain Dog,37.1
German Shepherd Dog,34.2
Shiba Inu,9.8
Great Dane,60.1
Maltese,3.2
Labrador Retriever,26.5
French Bulldog,12.7
Papillon,3.4
Doberman Pinscher,37.4
Pekingese,6.4
Bulldog,20.9
Soft Coated Wheaten Terrier,17.0
Rottweiler,43.4
Norwegian Elkhound,22.7
Shetland Sheepdog,9.0
Tibetan Terrier,11.0
German Shorthaired Pointer,26.0
Australian Cattle Dog,19.6
Alaskan Malamute,35.9
Bulldog,21.1
Border Collie,19.9
Bichon Frise,6.8
Siberian Husky,22.7
German Shepherd Dog,31.1
Shetland Sheepdog,8.5
Pomeranian,1.7
Basset Hound,27.3
Leonberger,67.1
Golden Retriever,29.2
French Bulldog,12.7
Bulldog,21.5
Dachshund,12.9
Akita,48.4
Boxer,14.4
English Springer Spaniel,18.7
English Cocker Spaniel,14.8
Mastiff,90.1
Chow Chow,24.7
Rottweiler,47.5
Collie,28.2
Australian Cattle Dog,20.3
English Cocker Spaniel,13.0
Border Collie,18.3
Miniature Schnauzer,6.9
Wirehaired Pointing Griffon,26.3
Australian Cattle Dog,18.9
Labrador Retriever,34.0
Shih Tzu,4.8
French Bulldog,12.7
Rat Terrier,7.6
Vizsla,21.0
Great Pyrenees,41.2
Giant Schnauzer,30.9
German Shepherd Dog,30.1
Cairn Terrier,6.3
Bullmastiff,54.3
German Shorthaired Pointer,28.6
French Bulldog,12.7
Golden Retriever,31.7
Poodle (Toy),2.3
French Bulldog,12.7
Chihuahua,2.7
Havanese,4.5
Dachshund,11.2
Whippet,16.0
Havanese,4.8
Saint Bernard,63.7
German Shepherd Dog,31.0
Alaskan Malamute,35.9
Poodle (Toy),2.2
German Shorthaired Pointer,24.2
Siberian Husky,24.4
Havanese,4.8
Dogue de Bordeaux,48.3
Great Dane,63.3
Chihuahua,2.7
Border Terrier,6.1
Poodle (Standard),23.9
Havanese,4.4
German Shepherd Dog,34.5
Pug,6.8
Labrador Retriever,30.7
Vizsla,26.7
Maltese,3.2
Rottweiler,56.2
Labrador Retriever,30.9
Russell Terrier,5.6
Bloodhound,46.2
Boston Terrier,8.6
German Shepherd Dog,36.2
German Shorthaired Pointer,29.5
Yorkshire Terrier,3.2
Cavalier King Charles Spaniel,7.0
Miniature Schnauzer,6.4
Labrador Retriever,31.6
French Bulldog,12.7
Rhodesian Ridgeback,35.5
Golden Retriever,29.9
Standard Schnauzer,19.0
Weimaraner,32.7
Chesapeake Bay Retriever,31.3
Havanese,5.1
Italian Greyhound,5.0
Labrador Retriever,32.5
German Shepherd Dog,33.0
Cardigan Welsh Corgi,13.8
Cavalier King Charles Spaniel,7.0
Rottweiler,58.5
Soft Coated Wheaten Terrier,15.7
Leonberger,59.4
Poodle (Toy),2.2
English Springer Spaniel,21.8
Leonberger,67.5
English Springer Spaniel,21.5
Labrador Retriever,32.9
German Shorthaired Pointer,27.7
German Shepherd Dog,34.1
Brussels Griffon,3.8
Golden Retriever,30.7
Samoyed,22.5
Greater Swiss Mountain Dog,46.6
Basenji,10.4
Boykin Spaniel,13.1
Cavalier King Charles Spaniel,7.6
Australian Shepherd,26.4
Leonberger,54.1
English Springer Spaniel,20.8
Mastiff,80.5
Vizsla,22.4
French Bulldog,12.7
Poodle (Standard),22.1
Bullmastiff,50.9
Rhodesian Ridgeback,35.3
Pembroke Welsh Corgi,13.2
Shiba Inu,9.0
Rottweiler,41.0
Chihuahua,2.7
American Staffordshire Terrier,22.7
Staffordshire Bull Terrier,14.6
Bulldog,21.4
Pembroke Welsh Corgi,13.0
Chihuahua,2.7
Tibetan Terrier,10.9
Cavalier King Charles Spaniel,7.7
Shih Tzu,5.8
Russell Terrier,4.9
Brittany,16.0
Labrador Retriever,28.5
German Wirehaired Pointer,24.7
Norwegian Elkhound,23.7
Giant Schnauzer,33.9
English Springer Spaniel,19.5
Brittany,16.2
Miniature American Shepherd,15.9
Bull Terrier,26.4
Chihuahua,2.7
French Bulldog,12.7
Shiba Inu,9.4
Irish Setter,29.9
Labrador Retriever,33.0
Lhasa Apso,7.2
Beagle,9.0
Miniature American Shepherd,12.8
Staffordshire Bull Terrier,15.4
Brittany,14.9
Dachshund,10.9
Beagle,8.9
Papillon,3.1
Basenji,10.5
Collie,26.7
Bullmastiff,53.3
German Shorthaired Pointer,26.8
Dogue de Bordeaux,46.4
Saint Bernard,71.6
Shetland Sheepdog,10.5
Chinese Shar-Pei,21.3
German Shepherd Dog,28.6
Lhasa Apso,7.1
Border Collie,24.0
German Shepherd Dog,25.0
Yorkshire Terrier,3.2
German Shepherd Dog,32.3
Shetland Sheepdog,7.8
Golden Retriever,28.8
Yorkshire Terrier,3.2
Anatolian Shepherd Dog,43.8
Labrador Retriever,30.9
Dogue de Bordeaux,47.0
Chinese Crested,4.8
Beagle,8.8
Siberian Husky,21.6
Labrador Retriever,29.0
Golden Retriever,29.8
Rottweiler,48.8
Great Dane,65.8
Soft Coated Wheaten Terrier,16.0
Shetland Sheepdog,10.0
French Bulldog,12.7
German Shepherd Dog,31.3
Labrador Retriever,29.6
Saint Bernard,69.6
Bull Terrier,28.9
Italian Greyhound,4.6
Miniature Pinscher,4.2
Poodle (Standard),20.3
Collie,29.8
Standard Schnauzer,17.9
Bullmastiff,56.7
Australian Shepherd,20.2
Labrador Retriever,30.1
Boxer,22.7
Beagle,11.1
French Bulldog,12.7
Collie,32.9
Russell Terrier,5.2
Poodle (Standard),26.0
Yorkshire Terrier,3.2
Papillon,3.5
Scottish Terrier,8.9
Alaskan Malamute,37.2
German Shepherd Dog,31.8
Chow Chow,23.5
Australian Shepherd,23.4
Flat-Coated Retriever,29.4
Poodle (Standard),22.5
Giant Schnauzer,33.3
German Wirehaired Pointer,25.6
Poodle (Miniature),5.3
French Bulldog,12.7
Yorkshire Terrier,3.2
English Setter,30.7
Norwegian Elkhound,23.6
Siberian Husky,23.2
Keeshond,16.7
Papillon,3.2
Border Terrier,6.1
Golden Retriever,28.2
German Shepherd Dog,34.7
Bulldog,18.1
Rottweiler,48.2
Boykin Spaniel,14.3
Pomeranian,2.4
Bloodhound,42.4
Miniature Pinscher,4.0
Doberman Pinscher,37.9
Labrador Retriever,32.8
Cardigan Welsh Corgi,17.2
Boston Terrier,9.1
Border Terrier,6.0
